Word,Count,Senses,Definition,Example
distantly,9,,from or at a distance,"dimly, distantly, voices sounded in the stillness"
distastefully,13,,in an offensively distasteful manner,a distastefully explicit report on the Royal couple's marital life
distinctively,13,,in an identifiably distinctive manner,the distinctively conservative district of the county
distinctly,10,clearly,clear to the mind,with distinct mental discernment
distinctly,10,,to a distinct degree,urbanization in Spain is distinctly correlated with a fall in reproductive rate
distinctly,10,,in a distinct and distinguishable manner,the subtleties of this distinctly British occasion
distractedly,12,,in a distracted manner,"`Come in,' he said distractedly"
distressfully,13,,with distress,"`Doctor Rother says it's his only chance,' she added distressfully"
distributively,14,,in a distributive manner,marine vertebrates have their weight supported distributively by the water
distributively,14,,as individuals or as separate units (not collectively),"taken distributively, their rights are imperceptible"
distrustfully,13,mistrustfully,with distrust,she looked at him distrustfully
disturbingly,12,,in a disturbing manner,the details of the kidnaper's letter had sounded disturbingly convincing
divinely,8,,by divine means,the divinely appointed means of rescue from temporal existence
dizzily,7,giddily light-headedly,in a giddy light-headed manner,he walked around dizzily
doggedly,8,tenaciously,with obstinate determination,he pursued her doggedly
doggo,5,out of sight in hiding,quietly in concealment,he lay doggo
dogmatically,12,,in a narrow-minded dogmatic manner,he is a dogmatically opinionated critic of Modern Art
dolce,5,,gently and sweetly,
dolefully,9,sorrowfully,with sadness,in a sorrowful manner
domestically,12,,with respect to home or family,the housewife bored us with her domestically limited conversation
domestically,12,,with respect to the internal affairs of a government,"domestically, the president proposes a more moderate economic policy"
domineeringly,13,,in a domineering manner,his wife behaved domineeringly
dorsoventrally,14,,in a dorsoventral direction,the ray has a dorsoventrally flattened body
double,6,,two together,some people sleep better double
double,6,,downward and forward,he was bent double with pain
double time,11,double quick,at a faster speed,now let's play the piece again double-quick
doubly,6,double twice,to double the degree,she was doubly rewarded
doubly,6,in two ways,in a twofold manner,he was doubly wrong
doubtfully,10,dubiously,in a doubtful manner,Gerald shook his head doubtfully
dourly,6,sullenly glumly,in a sullen manner,he sat in his chair dourly
dowdily,7,frumpily frumpishly,in a dowdy unfashionable manner,she dresses dowdily
down,4,downwards downward  downwardly,spatially or metaphorically from a higher to a lower level or position,don't fall down
down,4,,away from a more central or a more northerly place,was sent down to work at the regional office
down,4,,paid in cash at time of purchase,put ten dollars down on the necklace
down,4,,in an inactive or inoperative state,the factory went down during the strike
down,4,,to a lower intensity,he slowly phased down the light until the stage was completely black
down,4,,from an earlier time,the story was passed down from father to son
downfield,9,,toward or in the defending team's end of the playing field,
downhill,8,,toward the bottom of a hill,"running downhill, he gained a lot of speed"
downhill,8,,toward a lower or inferior state,your performance has been going downhill for a long time now
downright,9,,thoroughgoing,
downstage,9,,at or toward the front of the stage,
downstairs,10,down the stairs on a lower floo below,on a floor below,the tenants live downstairs
downwind,8,,with the wind,in the direction the wind is blowing
drably,6,,in a drab manner,she dresses drably
dramatically,12,,in a dramatic manner,he confessed dramatically
dramatically,12,,with respect to dramatic value,"the play was dramatically interesting, but the direction was bad"
dramatically,12,,in a very impressive manner,your performance will improve dramatically
dreadfully,10,awfully horribly,of a dreadful kind,there was a dreadfully bloody accident on the road this morning
dreamily,8,moonily dreamfully,in a dreamy manner,"`She would look beautiful in the new dress,' Tommy said dreamily"
droopingly,10,,in a drooping manner,"a branch hung low, droopingly"
drop-dead,9,,extremely,
drowsily,8,somnolently,in a drowsy manner,"`Time to get up,' she said drowsily"
drunkenly,9,,showing effects of much strong drink,He sang drunkenly
due,3,,directly or exactly,straight
dully,5,,without liveliness,she nodded her head dully
dully,5,,without luster or shine,the light shone dully through the haze
dumbly,6,,in an inarticulate manner,I nodded dumbly and he slit the envelope
dumbly,6,densely obtusely,in a stupid manner,he had so rapaciously desired and so obtusely expected to find her alone
dutifully,9,,out of a sense of duty,in a dutiful manner
dynamically,11,,in a forceful dynamic manner,this pianist plays dynamically
each,4,to each one for each one  from each one  apiece,to or from every one of two or more (considered individually),they received $ each
eagerly,7,thirstily,with eagerness,in an eager manner
earlier,7,before,earlier in time,previously
early,5,ahead of time too soon,before the usual time or the time expected,she graduated early
early,5,betimes,in good time,he awoke betimes that morning
early on,8,early,during an early stage,early on in her career
easily,6,,without question,easily the best book she's written
easily,6,easy,with ease (`easy' is sometimes used informally for `easily'),
east,4,,"to, toward, or in the east",we travelled east for several miles
easterly,8,,from the east,the winds blew easterly all night
eastward,8,eastwards,toward the east,they migrated eastward to Sweden
easy,4,soft,in a relaxed manner,
ebulliently,11,exuberantly expansively,in an ebullient manner,Khrushchev ebulliently promised to supply rockets for the protection of Cuba against American aggression
ecclesiastically,16,,in an ecclesiastic manner,the candidate was ecclesiastically endorsed
ecologically,12,,with respect to ecology,"ecologically speaking, this idea is brilliant; economically, it is a disaster"
economically,12,,with respect to economic science,economically this proposal makes no sense
economically,12,,with respect to the economic system,economically the country is worse off
ecstatically,12,rapturously rhapsodically,in an ecstatic manner,he reacted ecstatically to my plan to travel to Africa
edgeways,8,edgewise,"with the edge forward or on, by, or toward the edge",he sawed the board edgeways
edgewise,8,edgeways,as if by an edge,barely
editorially,11,,by means of an editorial,the paper commented editorially on the scandal
educationally,13,,in an educational manner,the assistant masters formed a committee of their own to consider what could be done educationally for the town
eerily,6,spookily,in an unnatural eery manner,it was eerily quiet in the chapel
effectively,11,in effect,in actuality or reality or fact,she is effectively his wife
effectually,11,,in an effectual manner,"Bismarck was constantly criticised by the more liberal newspapers, and he retaliated by passing an emergency decree that effectually muzzled the press"
efficaciously,13,effectively,in an effective manner,these are real problems that can be dealt with most effectively by rational discussion
efficiently,11,expeditiously,with efficiency,in an efficient manner
effortlessly,12,,without effort or apparent effort,she danced gracefully and effortlessly
effusively,10,,in an effusive manner,the critics praised her effusively
egotistically,13,selfishly,in an egotistical manner,he behaved egotistically
either,6,,after a negative statement used as an intensive meaning something like `likewise' or `also',"he isn't stupid, but he isn't exactly a genius either"
elaborately,11,intricately in an elaborate way,with elaboration,it was elaborately spelled out
electrically,12,,by electricity,electrically controlled
electronically,14,,by electronic means,the door opens electronically
electrostatically,17,,in an electrostatic manner,the dust adhered electrostatically to the surface
elegantly,9,,in a gracefully elegant manner,the members of these groups do not express themselves as accurately or as elegantly as their critics do
elegantly,9,,with elegance,in a tastefully elegant manner
eloquently,10,articulately,with eloquence,he expressed his ideas eloquently
elsewhere,9,,in or to another place,he went elsewhere
embarrassingly,14,,causing embarrassment,the great man was embarrassingly humble and self-effacing
eminently,9,,in an eminent manner,two subjects on which he was eminently qualified to make an original contribution
emotionally,11,,with regard to emotions,emotionally secure
emotionally,11,,in an emotional manner,at the funeral he spoke emotionally
empirically,11,through empirical observation by trial and erro,in an empirical manner,this can be empirically tested
emulously,9,,in a competitively imitative manner,she emulously tried to outdo her older sister
en famille,10,,in a casual way at home,we'll have dinner en famille
en masse,8,en bloc as a group,all together,the students turned out en masse
encouragingly,13,,in an encouraging manner,"`Go on,' he said encouragingly to his student"
endlessly,9,ceaselessly incessantly  unceasingly  unendingly  continuously,with unflagging resolve,dance inspires him ceaselessly to strive higher and higher toward the shining pinnacle of perfection that is the goal of every artiste
endlessly,9,,(spatial sense) seeming to have no bounds,the Nubian desert stretched out before them endlessly
enduringly,10,,in an enduring manner,Roman culture was enduringly fertilized
endways,7,endwise end on,with the end forward or toward the observer,houses built endways
endways,7,endwise,in or toward the direction of the ends,lengthwise
endways,7,endwise,on end or upright,sticks leaning against the wall endways
enormously,10,tremendously hugely  staggeringly,extremely,he was enormously popular
enough,6,plenty,as much as necessary,Have I eaten enough?
enterprisingly,14,,in an enterprising manner,"`Let's go up that mountain,' she said enterprisingly"
entertainingly,14,,in an entertaining manner,Byron's consumed memoirs possessed the merit of being well and entertainingly written
enthusiastically,16,,with enthusiasm,in an enthusiastic manner
entirely,8,exclusively solely  alone  only,without any others being included or involved,was entirely to blame
enviably,8,,in an enviable manner,she was enviably fluent in French
enviously,9,covetously jealously,with jealousy,in an envious manner
environmentally,15,,for the environment,the new recycling policy is environmentally safe
equably,7,,in an equable manner,he is an equably cheerful fellow
equally,7,as every bit,to the same degree (often followed by `as'),they were equally beautiful
equitably,9,,in an equitable manner,the inheritance was equitably divided among the sisters
erectly,7,straight-backed,in a straight-backed manner,the old man still walks erectly
erratically,11,unpredictably,in an erratic unpredictable manner,economic changes are proceeding erratically
eruditely,9,learnedly,with erudition,in an erudite manner
eschatologically,16,,in relation to eschatology,even atheists can be eschatologically minded
et al.,6,et al et alii  et aliae  et alia,and others ('et al.' is used as an abbreviation of `et alii' (masculine plural) or `et aliae' (feminine plural) or `et alia' (neuter plural) when referring to a number of people),the data reported by Smith et al.
ethically,9,,in an ethical manner,from an ethical point of view
ethnically,10,,with respect to ethnicity,the neighborhood is ethnically diverse
euphemistically,15,,in a euphemistic manner,his violent death was euphemistically referred to as a passing away
evasively,9,,with evasion,in an evasive manner
even,4,,used as an intensive especially to indicate something unexpected,even an idiot knows that
even,4,yet still,to a greater degree or extent,used with comparisons
even,4,,in spite of,notwithstanding
even,4,,to the full extent,loyal even unto death
even as,7,just as,at the same time as,even as he lay dying they argued over his estate
evenly,6,equally,in equal amounts or shares,in a balanced or impartial way
ever,4,of all time,at any time,did you ever smoke?
ever,4,ever so,(intensifier for adjectives) very,
everlastingly,13,eternally foreve evermore,for a limitless time,no one can live forever
evermore,8,forevermore,at any future time,in the future
every inch,10,,in every way,completely
every so often,14,every now and then,occasionally,every so often she visits her father
everywhere,10,everyplace all ove,to or in any or all places,
evolutionarily,14,,in an evolutionary way,from an evolutionary point of view
ex cathedra,11,,with the full authority of the office,the pope must speak ex cathedra for an encyclical to be infallible
ex officio,10,by right of office,by virtue of position,the president sat on the committee ex officio
excellently,11,magnificently splendidly  famously,extremely well,he did splendidly in the exam
exceptionally,13,,to an exceptional degree,it worked exceptionally well
excessively,11,overly to a fault  too,to a degree exceeding normal or proper limits,too big
excitedly,9,,with excitement,in an excited manner
excitingly,10,,in an exciting manner,"at the time of its appearance, the movie must have seemed excitingly new, even revolutionary"
excusably,9,forgivably pardonably,in an excusable manner or to an excusable degree,he was excusably late
exorbitantly,12,extortionately usuriously,to an exorbitant degree,prices are exorbitantly high in the capital
expansively,11,,in an impressively expansive manner,she managed to live rather expansively on her modest income
expectantly,11,,in an expectant manner,she looked at him expectantly
expensively,11,,in an expensive manner,an expensively dressed little man turned a corner and approached her
experimentally,14,by experimentation through an experiment,in an experimental fashion,this can be experimentally determined
expertly,8,like an expert,in an expert manner,he repaired the TV set expertly
explicitly,10,,in an explicit manner,in his foreword Professor Clark puts it explicitly
explosively,11,,suddenly and rapidly,the population in Central America is growing explosively
explosively,11,,in an explosive manner,the political situation in Kashmir and Jammu is explosively unstable
exponentially,13,,in an exponential manner,inflation is growing exponentially
express,7,,by express,please send the letter express
expressively,12,,with expression,in an expressive manner
expressly,9,,with specific intentions,for the express purpose
extemporaneously,16,extemporarily extempore,without prior preparation,he spoke extemporaneously
extensively,11,,in a widespread way,oxidation ponds are extensively used for sewage treatment in the Midwest
externally,10,,on or from the outside,the candidate needs to be externally evaluated
extra,5,,unusually or exceptionally,an extra fast car
extravagantly,13,lavishly,in a wasteful manner,"the United States, up to the s, used fuel lavishly, mainly because it was so cheap"
extremely,9,exceedingly supe deathly,to an extreme degree,extremely cold
exuberantly,11,riotously,in an exuberant manner,the exuberantly baroque decoration of the church
exultantly,10,exultingly,in an exultant manner,it was exultingly easy
fabulously,10,fantastically incredibly,exceedingly,extremely
face to face,12,,involving close contact,confronting each other
facetiously,11,jokingly tongue-in-cheek,not seriously,I meant it facetiously
face-to-face,12,face to face,within each other's presence,she met the president face-to-face
face-to-face,12,face to face opposite,directly facing each other,the two photographs lay face-to-face on the table
factually,9,,as a fact or based on fact,"they learn much, factually, about the problems of retirement and provision for old age, and, psychologically, in the sharing of their thoughts on retirement"
faintly,7,,to a faint degree or weakly perceived,between him and the dim light a form was outlined faintly
fairly,6,fair evenhandedly,"without favoring one party, in a fair evenhanded manner",deal fairly with one another
fairly,6,fair clean,in conformity with the rules or laws and without fraud or cheating,they played fairly
faithfully,10,dependably reliably,in a faithful manner,"it always came on, faithfully, like the radio"
faithlessly,11,traitorously treacherously  treasonably  false,in a disloyal and faithless manner,he behaved treacherously
falsely,7,incorrectly,in an incorrect manner,to credit Lister with the first formulation of the basic principle of stratigraphy would be to bestow credit falsely
falsely,7,,in an insincerely false manner,"a seduction on my part would land us with the necessity to rise, bathe and dress, chat falsely about this and that, and emerge into the rest of the evening as though nothing had happened"
familiarly,10,,in an intimately familiar manner,"Sid, as he was familiarly known by his friends, was one of the most respected and devoted members of the socialist minority group"
famously,8,,in a manner or to an extent that is well known,in his famously anecdotal style
fanatically,11,,in a passionately fanatic manner,he followed the teachings of his guru fanatically
fancifully,10,whimsically,in a fanciful manner,the Christmas tree was fancifully decorated
far,3,,at or to or from a great distance in space,he traveled far
far,3,,remote in time,if we could see far into the future
far,3,,to a considerable degree,very much
far,3,,at or to a certain point or degree,I can only go so far before I have to give up
far,3,,to an advanced stage or point,a young man who will go very far
far and wide,12,far and near,over great areas or distances,everywhere
farcically,10,,in a farcical manner,a farcically inept bungler
farther,7,further,to or at a greater distance in time or space (`farther' is used more frequently than `further' in this physical sense),farther north
farthest,8,furthest,to the greatest distance in space or time (`farthest' is used more often than `furthest' in this physical sense),see who could jump the farthest
fascinatingly,13,,in a fascinating manner,her face became fascinatingly distorted
fashionably,11,,in a fashionable manner,his voice had no trace of the drawl that you would expect to find in a fashionably dressed young man
fast,4,,quickly or rapidly (often used as a combining form),how fast can he get here?
fast,4,tight,firmly or closely,held fast to the rope
fastidiously,12,,in a fastidious manner,"he writes extremely musical music, of which the sound is fastidiously calculated and yet agreeably spontaneous and imaginative"
fatally,7,,with fatal consequences or implications,he was fatally ill equipped for the climb
fatefully,9,,in a prophetically fateful manner,the nurse whispered fatefully to call the priest
faultily,8,,in an inaccurate manner,these statements were faultily attributed to me
faultlessly,11,,without a fault,in a faultless manner
favorably,9,favourably,showing approval,he reviewed the play favorably
fearfully,9,,in fear,she hurried down the stairs fearfully
fearfully,9,,in an alarming manner,they were fearfully attacked
fearlessly,10,dauntlessly intrepidly,without fear,"fearlessly, he led the troops into combat"
fearsomely,10,,in a fearsome manner,a sabre slammed fearsomely through the thicket in all directions
fecklessly,10,,in a feckless manner,irresponsibly and incompetently
federally,9,,by federal government,it's federally regulated
feebly,6,,in a halting and feeble manner,"reform, in fact, is, rather feebly, on the win"
feebly,6,,in a faint and feeble manner,"the lighthouse, flashing feebly against the sleet-blurred, rocky backdrop of the coast of north west Norway"
feelingly,9,,with great feeling,she spoke feelingly of her early childhood
feetfirst,9,,with the feet foremost,he jumped into the pool feetfirst
felicitously,12,,in a felicitous manner,a not felicitously chosen word
ferociously,11,fiercely,in a physically fierce manner,silence broken by dogs barking ferociously
feudally,8,,in a feudal manner,a feudally organized society
feverishly,10,,in a feverish manner,she worked feverishly
fiercely,8,,in an emotionally fierce manner,she was fiercely proud of her children
fierily,7,fervently fervidly,with passionate fervor,both those for and against are fervently convinced they speak for the great majority of the people
fifthly,7,,in the fifth place,"fifthly, we must adhere to the rules set by the local government"
figuratively,12,,in a figurative sense,"figuratively speaking,..."
financially,11,,from a financial point of view,this was financially unattractive
finely,6,fine delicately  exquisitely,in a delicate manner,finely shaped features
finely,6,,in an elegant manner,finely costumed actors
finely,6,,in tiny pieces,the surfaces were finely granular
finitely,8,,with a finite limit,there are finitely many solutions to this problem
firm,4,firmly steadfastly  unwaveringly,with resolute determination,we firmly believed it
first,5,firstly foremost  first of all  first off,before anything else,first we must consider the garter snake
first,5,,the initial time,when Felix first saw a garter snake
first,5,,"before another in time, space, or importance",I was here first
first and last,14,above all,taking everything together,she was first and last a scientist
first class,11,,by first class conveyance,with first class accommodations
firsthand,9,at first hand,from the original source,directly
first-rate,10,very well,quite well,she doesn't feel first-rate today
fiscally,8,in fiscal matters,in financial matters,fiscally irresponsible
fitfully,8,,in a fitful manner,he slept fitfully
fixedly,7,,in a fixed manner,he stared at me fixedly
flabbily,8,,in a flabby manner,the old man's muscles were sagging flabbily
flagrantly,10,,in a flagrant manner,he is flagrantly disregarding the law
flamboyantly,12,showily flashily,in a fancy colorful manner,he dresses rather flamboyantly
flat,4,,with flat sails,sail flat against the wind
flat out,8,like blue murder,at top speed,he ran flat out to catch the bus
flatly,6,categorically unconditionally,in an unqualified manner,he flatly denied the charges
flawlessly,10,cleanly,smoothly and without difficulty,precisely and deftly
flexibly,8,,with flexibility,"`Come whenever you are free,' he said flexibly"
flimsily,8,,in a weak and flimsy manner,this car is so flimsily constructed
flip-flap,9,,with repeated strokes and noise,something going flip-flap in the night
flippantly,10,airily,in a flippant manner,he answered the reporters' questions flippantly
flop,4,,with a flopping sound,he tumbled flop into the mud
floridly,8,,in a florid manner,floridly figurative prose
fluently,8,,in a fluent manner,she speaks French fluently
flush,5,,squarely or solidly,hit him flush in the face
flush,5,,in the same plane,set it flush with the top of the table
focally,7,,in a focal manner,the submucosa was focally infiltrated
fondly,6,lovingly,with fondness,with love
foolishly,9,unwisely,without good sense or judgment,He acted foolishly when he agreed to come
for,3,song for a bargain price at a low price,for a relatively small amount of money,we bought the house for a song
for all practical purposes,26,to all intents and purposes for all intents and purposes,in every practical sense,to all intents and purposes the case is closed
for dear life,13,,as though your life was at stake,he was running for dear life
for example,11,for instance e.g.,as an example,"take ribbon snakes, for example"
for good measure,16,,in addition (as to close a deal),"the car salesman threw in the radio, for good measure"
for keeps,9,,for the winner to keep all,they played for keeps
for love or money,17,for anything for any price  for all the world,under any circumstances,she wouldn't give up her pets for love or money
for one,7,,as a particular one of several possibilities,I for one feel very grateful
for short,9,,as an abbreviation,call me Bob for short
for that matter,15,,as far as that is concerned,for that matter I don't care either
for the asking,14,on request,on the occasion of a request,advice was free for the asking
for the moment,14,for the time being,temporarily,we'll stop for the time being
forbiddingly,12,,in an unpleasant or menacing manner,it was forbiddingly dark in the corridor
forcefully,10,,with full force,we are seeing this film too late to feel its original impact forcefully
forcibly,8,,in a forcible manner,keep in mind the dangers of imposing our own values and prejudices too forcibly
fore,4,forward,near or toward the bow of a ship or cockpit of a plane,the captain went fore (or forward) to check the instruments
foremost,8,first,prominently forward,he put his best foot foremost
forever,7,forever and a day,for a very long or seemingly endless time,
forgetfully,11,,in a forgetful manner,she is getting old and acts forgetfully
forgivingly,11,,with forgiveness,in a forgiving manner
forlornly,9,,in a forlorn manner,a single chicken was scratching forlornly in the yard
formally,8,,in a formal manner,he was dressed rather formally
formally,8,officially,with official authorization,the club will be formally recognized
formidably,10,,in a formidable manner,the constant risk that attends the exchanges of human beings formidably armed
formlessly,10,,in a formless manner,the dress hung formlessly on her body
forte,5,loudly,used as a direction in music,to be played relatively loudly
forth,5,,out into view,came forth from the crowd
forth,5,forward onward,forward in time or order or degree,from that time forth
fortissimo,10,very loudly,a direction in music,to be played very loudly
fortnightly,11,biweekly,every two weeks,he visited his cousins fortnightly
fortunately,11,fortuitously luckily  as luck would have it,by good fortune,fortunately the weather was good
forward,7,forwards frontward  frontwards  forrad  forrard,at or to or toward the front,
foully,6,,in a wicked and shameful manner,two policemen were foully murdered
foully,6,insultingly,in an unfair and insulting manner,this internationally known writer was foully condemned by the Muslim fundamentalists
fourfold,8,four times,by a factor of four,the price of gasoline has increased fourfold over the past two years
foursquare,10,,in a square position,the building stood foursquare
fourthly,8,fourth,in the fourth place,"fourthly, you must pay the rent on the first of the month"
fractiously,11,,in a fractious manner,the horse was behaving fractiously and refused to jump
fraudulently,12,,in a dishonest and fraudulent manner,this money was fraudulently obtained
freely,6,,in a free manner,the painting featured freely brushed strokes
frenziedly,10,hectically,in a frenzied manner,we rehearsed frenziedly the last few days before the premiere
frequently,10,often oftentimes  oft  ofttimes,many times at short intervals,we often met over a cup of coffee
fretfully,9,,in a fretful manner,"fretfully, the baby tossed in his crib"
frighteningly,13,scarily,in an alarming manner,"the disturbing thing about the Minister's behavior is that far from being artificial, it too often rings frighteningly true"
friskily,8,,in a playfully frisky manner,he moves about friskily despite his age
frivolously,11,,in a frivolous manner,she spends her time frivolously enjoying the easy life of a rich and spoiled girl
from pillar to post,19,hither and thither,from one place or situation to another,we were driven from pillar to post
from scratch,12,,"from the beginning, especially without relying on resources or other advantages",he baked the torte from scratch
from the heart,14,,very sincerely,he spoke from the heart
from way back,13,since a long time ago,since long ago,she knows him from way back
frostily,8,frigidly,without warmth or enthusiasm,"`Come in if you have to,' he said frostily"
frothily,8,,in a frothy manner,the champagne poured frothily into the glasses
frowningly,10,,with a frown,while frowning
frugally,8,,in a frugal manner,"in villages, the new pipeline marks the end of water as a precious liquid, to be dispensed frugally, weighed out drop by drop"
fucking,7,,"intensifier, very colloquial",what took you so fucking long?
fugally,7,,in a fugal style,
full-time,9,,for the standard number of hours,she works full-time
fully,5,to the full full,to the greatest degree or extent,
functionally,12,,with respect to function,the two units are functionally interdependent
furiously,9,,(of the elements) in a wild and stormy manner,winds were blowing furiously
furiously,9,,in an impassioned or very angry manner,she screamed furiously at her tormentors
furiously,9,,in a manner marked by extreme or violent energy,the boys fought furiously
further,7,farther,to or at a greater extent or degree or a more advanced stage (`further' is used more often than `farther' in this abstract sense),further complicated by uncertainty about the future
further,7,,in addition or furthermore,if we further suppose
furthermore,11,moreover what is more,in addition,"computer chess games are getting cheaper all the time; furthermore, their quality is improving"
furthest,8,farthest,to the greatest degree or extent or most advanced stage (`furthest' is used more often than `farthest' in this abstract sense),went the furthest of all the children in her education
furtively,9,on the sly,in a furtive manner,the soldiers were furtively crawling through the night
fussily,7,,in a fussy manner,he spoke to her fussily
gaily,5,,in a gay manner,the scandals were gaily diverting
gainfully,9,,in a gainful way,are you gainfully employed now?
gallantly,9,chivalrously,in a gallant manner,he gallantly offered to take her home
gamely,6,,in a plucky manner,"he was seen by a shepherd, gamely negotiating a particularly tricky section of the mountain road to San Doloroso"
garishly,8,tawdrily gaudily,in a tastelessly garish manner,the temple was garishly decorated with bright plastic flowers
genealogically,14,,in a genealogical manner,he charted his family tree genealogically
generally,9,in general in the main,without distinction of one from others,he is interested in snakes in general
generically,11,,as sharing a common genus,these animals are not related generically
generically,11,,without a trademark or brand name,we market these drugs generically
genetically,11,,by genetic mechanisms,genetically passed down talents
genteelly,9,,in a genteel manner,the English lived genteelly in India
gently,6,,in a gradual manner,a gently sloping terrain
gently,6,mildly,in a gentle manner,he talked gently to the injured animal
geographically,14,,with respect to geography,they are geographically closer to the center of town
geologically,12,,with respect to geology,"geologically speaking, this area is extremely interesting"
geometrically,13,,in a geometric fashion,it grew geometrically
geometrically,13,,with respect to geometry,this shape is geometrically interesting
gingerly,8,,in a gingerly manner,gingerly I raised the edge of the blanket
girlishly,9,,like a girl,she was girlishly shy
give or take,12,,plus or minus a small amount,"it is a mile away, give or take a few hundred yards"
glacially,9,,by a glacier,glacially deposited material
gladly,6,lief fain,in a willing manner,this was gladly agreed to
glaringly,9,,in a glaring manner,it was glaringly obvious
gleefully,9,joyously joyfully,in a joyous and gleeful manner,the old man had greeted her gleefully
glibly,6,slickly,with superficial plausibility,he talked glibly
glissando,9,,(musical direction) in the manner of a glissando (with a rapidly executed series of notes),
gloatingly,10,,in a gloating manner,he spoke gloatingly about people he had cheated out of their money
globally,8,,with respect to the whole earth,"think globally, not locally"
gloomily,8,,with gloom,such a change is gloomily foreseen by many
gloriously,10,,blessedly or wonderfully,how gloriously happy she had been during those few fleeting moments of time
gloriously,10,,with glory or in a glorious manner,where others had failed he had gloriously succeeded
glossily,8,,in a glossy manner,the magazine was glossily printed
gloweringly,11,,in a glowering manner,he stared gloweringly at this morning's headlines
glowingly,9,,in an enthusiastically glowing manner,in her letter she praised him glowingly
gluttonously,12,,in a gluttonous manner,this man eats gluttonously
God knows how,13,,by some means not understood by the speaker,"God knows how he did it, but he did climbed that steep wall"
goddam,6,goddamn goddamned,extremely,
gorgeously,10,splendidly resplendently  magnificently,in an impressively beautiful manner,the Princess was gorgeously dressed
governmentally,14,,by government,governmentally determined policy
gracefully,10,,in a graceful manner,she swooped gracefully
gracelessly,11,,in a graceless manner,she moves rather gracelessly
graciously,10,gracefully,in a gracious or graceful manner,he did not have a chance to grow up graciously
gradually,9,bit by bit step by step,in a gradual manner,the snake moved gradually toward its victim
grammatically,13,,in a grammatical manner,this child already speaks grammatically
grandiloquently,15,magniloquently,in a rhetorically grandiloquent manner,the orator spoke magniloquently
grandly,7,,in a grand manner,the mansion seemed grandly large by today's standards
graphically,11,,in a graphic way,he described the event graphically
graphically,11,,with respect to graphic aspects,graphically interesting designs
gratifyingly,12,satisfyingly,in a gratifying manner,the performance was at a gratifyingly high level
gratingly,9,raspingly harshly,in a harsh and grating manner,her voice fell gratingly on our ears
gratis,6,for free free of charge,without payment,I'll give you this gratis
gratuitously,12,,in an uncalled-for manner,he insulted us gratuitously
gravely,7,soberly staidly,in a grave and sober manner,he walked soberly toward the altar
gravitationally,15,,with respect to gravitation,gravitationally strong forces
grayly,6,greyly,having a grey appearance,"lonely creeks are opal in the dawn, sword-blue in the sun, greyly silver under misty moons"
greasily,8,,in a greasy manner,the food was greasily unappetizing
greatly,7,,to an extraordinary extent or degree,he improved greatly
greenly,7,,with green color,the countryside rolled greenly down into the valley
grievously,10,,in a grievous manner,"the resolute but unbroken Germany, grievously wounded but far from destruction, was able to lay the firm foundations for military revival"
grimly,6,,in a grim implacable manner,he was grimly satisfied
grotesquely,11,monstrously,in a grotesque manner,"behind the house lay two nude figures grotesquely bald, with deliberate knife-slashes marking their bodies"
grudgingly,10,,in a grudging manner,he grudgingly agreed to have a drink in a hotel close by
gruesomely,10,,in a gruesome manner,he was gruesomely wounded
gruffly,7,,in a gruff manner,"`No,' he replied gruffly"
guiltily,8,,in the manner of someone who has committed an offense,she blushed guiltily as she spoke
gushingly,9,,in a gushing manner,a gushingly prolific writer
gutturally,10,,in a guttural manner,gutturally articulated
habitually,10,,according to habit or custom,her habitually severe expression
haggardly,9,,in a haggard manner,she looked haggardly out of her tent
half,4,,partially or to the extent of a half,he was half hidden by the bushes
half-and-half,13,,in equal parts,it was divided half-and-half
half-heartedly,14,,without enthusiasm,in a half-hearted manner
half-price,10,,for half the price,she bought it half-price during the sale
half-time,9,part-time parttime,for less than the standard number of hours,he works part-time
halfway,7,midway,at half the distance,at the middle
haltingly,9,,in a halting manner,he spoke haltingly
hand and foot,13,,in all ways possible,they served him hand and foot
hand in glove,13,hand and glove cooperatively,in close cooperation,they work hand in glove
hand in hand,12,,clasping each other's hands,they walked hand in hand
hand in hand,12,,together,hand in hand with hope went fear
hand over fist,14,,at a tremendous rate,made money hand over fist
hand to hand,12,,at close quarters,fought hand to hand
hand to mouth,13,,with barely enough money for immediate needs,they lived form hand to mouth
handily,7,hands down,with no difficulty,she beat him handily
handily,7,conveniently,in a convenient manner,the switch was conveniently located
handsomely,10,,in a generously handsome manner,"India has responded handsomely by providing , men"
handsomely,10,,in an attractively handsome manner,the volume was handsomely bound
haphazard,9,haphazardly,without care,in a slapdash manner
haply,5,by chance by luck,by accident,betrayed by a word haply overheard
happily,7,,in an unexpectedly lucky way,happily he was not injured
happily,7,merrily mirthfully  gayly  blithely  jubilantly,in a joyous manner,they shouted happily
hard,4,,with effort or force or vigor,the team played hard
hard,4,,to the full extent possible,all the way
hard,4,hardly,slowly and with difficulty,prejudices die hard
hard,4,severely,causing great damage or hardship,industries hit hard by the depression
hard,4,firmly,with firmness,held hard to the railing
hard,4,,earnestly or intently,thought hard about it
hard,4,,with pain or distress or bitterness,he took the rejection very hard
hard,4,,very near or close in space or time,it stands hard by the railroad tracks
hard,4,,into a solid condition,concrete that sets hard within a few hours
hardly,6,scarcely barely  scarce,almost not,he hardly ever goes fishing
harmlessly,10,,in a harmless manner,this is a harmlessly childish game
